date,npm_through,npm_total,github_release_downloads,total_downloads
2026-07-24,2026-07-23,1311,770,2081
2026-07-25,2026-07-24,1311,836,2147
2026-07-26,2026-07-25,1506,909,2415
2026-07-27,2026-07-26,1669,1040,2709
2026-07-28,2026-07-27,1669,1124,2793
2026-07-29,2026-07-28,1669,1155,2824
2026-07-30,2026-07-29,1669,1201,2870
2026-07-31,2026-07-30,1669,1293,2962
2026-08-01,2026-07-31,1669,1345,3014
2026-08-02,2026-08-01,1702,1393,3095
2026-08-03,2026-08-02,1716,1460,3176
2026-08-04,2026-08-03,1716,1508,3224
2026-08-05,2026-08-04,1716,1531,3247
2026-08-06,2026-08-05,1716,1583,3299
2026-08-07,2026-08-06,1716,1725,3441
2026-08-08,2026-08-07,1716,1850,3566
2026-08-09,2026-08-08,2064,1992,4056
2026-08-10,2026-08-09,2275,2130,4405
2026-08-11,2026-08-10,2275,2257,4532
2026-08-12,2026-08-11,2275,2394,4669
2026-08-13,2026-08-12,2275,2463,4738
2026-08-14,2026-08-13,2275,2526,4801
2026-08-15,2026-08-14,2275,2563,4838
2026-08-16,2026-08-15,2792,2657,5449
2026-08-17,2026-08-16,3055,2709,5764
2026-08-18,2026-08-17,3055,2854,5909
2026-08-19,2026-08-18,3055,2947,6002
2026-08-20,2026-08-19,3055,2990,6045
2026-08-21,2026-08-20,3055,3137,6192
2026-08-22,2026-08-21,3055,3230,6285
2026-08-23,2026-08-22,3250,3252,6502
2026-08-24,2026-08-23,3322,3311,6633
2026-08-25,2026-08-24,3322,3366,6688
2026-08-26,2026-08-25,3322,3437,6759
2026-08-27,2026-08-26,3496,3519,7015
